"species_name","habitat","percher_flier","start_main_flight_period","end_main_flight_period","sti","sti_sd","partivoltine","semivoltine","univoltine","bivoltine","multivoltine","voltinism_source","overwintering_stage","overwintering_stage_source","oviposition_mode","oviposition_mode_source","larval_strategy"
"Sympetrum nigrifemur","generalist","percher","March","December","18.172187108604401","1.5915524282096301","0","0","0","1","0","6","egg","6","exophytic","6","sprawler"
"Sympetrum pedemontanum","streams and rivers","percher","July","September","8.5386191878865905","2.07938143782828","0","0","1","0","0","6","egg","6","exophytic","6","sprawler"
"Sympetrum sanguineum","eutrophic","percher","June","September","9.3263371217134203","2.6637349384610598","0","0","1","0","0","6","egg","6","exophytic","6","sprawler"
"Sympetrum sinaiticum","southern streams and rivers","percher","June","December","15.343144566883399","1.9951632598939399","0","0","1","0","0","6","egg","6","exophytic","6","sprawler"
"Sympetrum striolatum","eutrophic","percher","June","December","10.8166096774781","3.7115277300035499","0","1","1","0","0","6","egg_larva","6","exophytic","6","sprawler"
"Sympetrum vulgatum","eutrophic","percher","July","October","7.7503984990107204","2.4197686030151102","0","0","1","0","0","6","egg","6","exophytic","6","sprawler"
"Trithemis annulata","generalist","percher","May","November","15.377859387265699","2.2066907833384999","0","0","1","1","1","6","larva","6","exophytic","6","sprawler"
"Trithemis arteriosa","generalist","percher","May","November","18.2776665479911","1.5940758954013901","0","0","1","1","1","NA","larva","NA","exophytic","17","sprawler"
"Trithemis festiva","southern streams and rivers","percher","May","November","17.977017860030202","0.56187466571681899","0","0","1","1","0","NA","larva","6","exophytic","6","sprawler"
"Trithemis kirbyi","generalist","percher","April","October","16.722997459062","1.28252002004466","0","0","0","1","1","6","larva","6","exophytic","6","sprawler"
"Zygonyx torridus","southern streams and rivers","flier","May","October","17.8176729655153","2.1252448092691201","0","0","1","0","0","NA","larva","NA","exophytic","6","hider"
